ID,name,segment,layer,sector,adcm,adcm_conn,type,iscluster,posx,posy,posz,phi,dir
1,X1-26,  1,1,0,5,1,1, 0, 0,59.91, 81.432,  -60,1
2,X2-1920,1,2,0,6,1,2, 0, 0,89.91, 102.612, -60,1
3,Y1-3735,1,3,0,6,0,3, 0, 38.45,95.91, 109.272, -60,-1
4,X1-24,  2,1,1,5,0,1, 0, 0,59.91, 81.432,   60,1
5,X2-3536,2,2,1,6,1,2, 0, 0,89.91, 102.612,  60,1
6,Y1-4041,2,3,1,6,0,3, 0, 38.45,95.91, 109.272,  60,-1
7,X1-20,  3,1,0,5,0,1, 0, 0,59.91, 81.432,  120,1
8,X2-1618,3,2,2,6,1,2, 0, 0,89.91, 102.612, 120,1
9,Y1-3839,3,3,2,6,0,3, 0, 38.45,95.91, 109.272, 120,-1
10,X1-17,  4,1,1,5,1,1, 0, 0,59.91, 81.432,  -120,1
11,X2-1213,4,2,3,6,1,2, 0, 0,89.91, 102.612, -120,1
12,Y1-2829,4,3,3,6,0,3, 0, 38.45,95.91, 109.272, -120,-1
13,Y1-0244,5,1,0,7,0,3, 1, 0, 40.15, 293.691, 0,-1
14,X2-2426,5,2,0,7,1,2, 1, 134.675,0, 298.991, 0,-1
15,X2-3034,5,3,1,7,1,2, 1, 141.675,0, 360.041, 0,-1
16,Y1-3334,5,4,1,7,0,3, 1, 0, -36.55, 366.191, 0,1
17,Y1-3032,6,4,2,7,0,3, 1, 0, 40.15, 366.191, 0,-1
18,X2-2728,6,3,2,7,1,2, 1, -141.675,0, 360.041, 0,1
19,X2-1415,6,2,3,7,1,2, 1, -134.675,0, 298.991, 0,1
20,Y1-4647,6,1,3,7,0,3, 1, 0, -36.55, 293.691, 0,1
